# HSK 3.0 level-1 — official vocabulary (word IDs = official global index; stable forever)
# columns: id\tsimp\tpinyin\thsk3_level\tfreq_rank
# source: https://www.hanzistroke.com/hsk/3.0/level-1 · retrieved 2026-07-11
1	爱	ài	1	1
2	八	bā	1	2
3	爸爸	bà ba	1	3
4	吧	ba	1	4
5	白天	bái tiān	1	5
6	百	bǎi	1	6
7	半	bàn	1	7
8	包子	bāo zi	1	8
9	杯子	bēi zi	1	9
10	本	běn	1	10
11	边	biān	1	11
12	病	bìng	1	12
13	不	bù	1	13
14	不客气	bú kè qi	1	14
15	不要	bù yào	1	15
16	菜	cài	1	16
17	茶	chá	1	17
18	唱	chàng	1	18
19	超市	chāo shì	1	19
20	车	chē	1	20
21	吃	chī	1	21
22	出租车	chū zū chē	1	22
23	穿	chuān	1	23
24	打电话	dǎ diàn huà	1	24
26	大家	dà jiā	1	26
27	大学	Dà xué	1	27
28	大学生	dà xué shēng	1	28
29	到	dào	1	29
30	的	de	1	30
31	第	dì	1	31
32	弟弟	dì di	1	32
34	店	diàn	1	34
35	电话	diàn huà	1	35
36	电脑	diàn nǎo	1	36
37	电视	diàn shì	1	37
38	电影	diàn yǐng	1	38
39	电影院	diàn yǐng yuàn	1	39
40	东西	dōng xi	1	40
41	都	dōu	1	41
42	读	dú	1	42
43	读书	dú shū	1	43
44	对	duì	1	44
45	对不起	duì bu qǐ	1	45
46	多	duō	1	46
47	多少	duō shao	1	47
48	儿子	ér zi	1	48
49	二	èr	1	49
50	饭	fàn	1	50
51	饭店	fàn diàn	1	51
52	房间	fáng jiān	1	52
53	非常	fēi cháng	1	53
55	分	fēn	1	55
56	分钟	fēn zhōng	1	56
57	高兴	gāo xìng	1	57
58	歌	gē	1	58
59	哥哥	gē ge	1	59
60	个	gè	1	60
61	给	gěi	1	61
62	公司	gōng sī	1	62
63	工作	gōng zuò	1	63
64	狗	gǒu	1	64
65	贵	guì	1	65
66	国	guó	1	66
67	还	hái	1	67
68	孩子	hái zi	1	68
69	汉语	hàn yǔ	1	69
70	汉字	hàn zì	1	70
71	好	hǎo	1	71
72	好吃	hǎo chī	1	72
73	好看	hǎo kàn	1	73
74	好听	hǎo tīng	1	74
75	好玩儿	hǎo wán r	1	75
76	号	hào	1	76
77	喝	hē	1	77
78	和	hé	1	78
79	很	hěn	1	79
80	后	hòu	1	80
81	回	huí	1	81
82	会	huì	1	82
83	火车	huǒ chē	1	83
84	鸡蛋	jī dàn	1	84
85	几	jǐ	1	85
86	家	jiā	1	86
87	家人	jiā rén	1	87
88	见	jiàn	1	88
89	件	jiàn	1	89
90	饺子	jiǎo zi	1	90
91	叫	jiào	1	91
